code,title,year,genres,rating,cast
tt13923456,Mafia Mamma,2023,"Action,Comedy,Crime",5.4,"Toni Collette, Monica Bellucci, Sophia Nomvete, Alessandro Bressanello, Eduardo Scarpetta"
tt13927994,Salaar,2023,"Action,Crime,Drama",6.6,"Prabhas, Karthikeya Dev, Prithviraj Sukumaran, Shruti Haasan, Jagapathi Babu"
tt13929998,On a Wing and a Prayer,2023,Drama,5.4,"Dennis Quaid, Heather Graham, Jesse Metcalfe, Tonglan Qiu, Abigail Rhyne"
tt1393742,Jesus Henry Christ,2011,Comedy,6.4,"Jason Spevack, Toni Collette, Michael Sheen, Samantha Weinstein, Hannah Brigden"
tt1393746,Aftershock,2010,"Drama,History",7.5,"Daoming Chen, Chen Li, Yi Lu, Fan Xu, Jingchu Zhang"
tt1395025,Agent Vinod,2012,"Action,Adventure,Thriller",5.2,"Saif Ali Khan, Kareena Kapoor, Kareena Kapoor, Kareena Kapoor, Ravi Kishan"
tt1395054,Once Upon a Time in Mumbaai,2010,"Action,Crime,Drama",7.4,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai, Randeep Hooda"
tt13957560,Dumb Money,2023,"Biography,Comedy,Drama",6.9,"Paul Dano, Pete Davidson, Vincent D'Onofrio, America Ferrera, Myha'la"
tt1396208,Action Replayy,2010,"Comedy,Romance,Sci-Fi",4.3,"Akshay Kumar, Aishwarya Rai Bachchan, Aishwarya Rai Bachchan, Aditya Roy Kapoor, Om Puri"
tt1396218,Mr. Popper's Penguins,2011,"Comedy,Family,Fantasy",6.0,"Jim Carrey, Carla Gugino, Angela Lansbury, Ophelia Lovibond, Madeline Carroll"
tt1396221,Passion Play,2010,"Drama,Fantasy,Horror",4.5,"Mickey Rourke, Megan Fox, Bill Murray, Kelly Lynch, Rhys Ifans"
tt1396226,Twice Born,2012,"Drama,Romance,War",7.3,"Penélope Cruz, Emile Hirsch, Adnan Haskovic, Saadet Aksoy, Pietro Castellitto"
tt13964390,Under Paris,2024,"Action,Drama,Horror",5.2,"Bérénice Bejo, Nassim Lyes, Léa Léviant, Sandra Parfait, Aksel Ustun"
tt13964404,Horror in the High Desert,2021,"Horror,Thriller",5.4,"Suziey Block, Eric Mencis, David Morales, Tonya Williams Ogden, Errol Porter"
tt1396484,It,2017,Horror,7.3,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis, Jeremy Ray Taylor"
tt13968674,Fingernails,2023,"Drama,Romance,Sci-Fi",5.8,"Jessie Buckley, Riz Ahmed, Jeremy Allen White, Luke Wilson, Christian Meer"
tt1397280,Taken 2,2012,"Action,Crime,Thriller",6.2,"Liam Neeson, Famke Janssen, Maggie Grace, Leland Orser, Jon Gries"
tt1397514,Journey 2: The Mysterious Island,2012,"Action,Adventure,Comedy",5.7,"Josh Hutcherson, Dwayne Johnson, Michael Caine, Luis Guzmán, Vanessa Hudgens"
tt13978306,Brazen,2022,"Crime,Drama,Mystery",4.2,"Alyssa Milano, Sam Page, Malachi Weir, Emilie Ullerup, Emilie Ullerup"
tt13978658,Salute,2022,"Action,Crime,Drama",7.0,"Dulquer Salmaan, Manoj K. Jayan, Diana Penty, Lakshmi Gopalaswamy, Saniya Iyappan"
tt1398426,Straight Outta Compton,2015,"Biography,Drama,History",7.8,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr., Aldis Hodge"
tt1398428,YellowBrickRoad,2010,"Horror,Thriller",4.7,"Michael Laurino, Anessa Ramsey, Alex Draper, Cassidy Freeman, Clark Freeman"
tt13989030,The Royal Treatment,2022,"Comedy,Family,Romance",5.3,"Laura Marano, Mena Massoud, Julie Edwards, Talia Lesser, Ivan Stojanov"
tt1399103,Transformers: Dark of the Moon,2011,"Action,Adventure,Sci-Fi",6.2,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel, John Turturro"
tt1399683,Winter's Bone,2010,"Crime,Drama,Mystery",7.1,"Jennifer Lawrence, John Hawkes, Garret Dillahunt, Isaiah Stone, Ashlee Thompson"
tt14001894,Secret Headquarters,2022,"Action,Adventure,Comedy",5.2,"Owen Wilson, Michael Peña, Walker Scobell, Jesse Williams, Keith L. Williams"
tt14002046,Bheeshma Parvam,2022,"Action,Crime,Drama",7.6,"Mammootty, Soubin Shahir, Sreenath Bhasi, Nadia Moidu, Farhaan Faasil"
tt1401113,Dante's Inferno: An Animated Epic,2010,"Action,Adventure,Animation",6.5,"Graham McTavish, Vanessa Branch, Steve Blum, Peter Jessop, Mark Hamill"
tt1401143,Rare Exports,2010,"Adventure,Fantasy,Horror",6.6,"Jorma Tommila, Onni Tommila, Peeter Jakobi, Tommi Korpela, Rauno Juvonen"
tt1401152,Unknown,2011,"Action,Mystery,Thriller",6.8,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz"
tt1402488,Happy Feet Two,2011,"Adventure,Animation,Comedy",5.8,"Elijah Wood, Robin Williams, Robin Williams, P!nk, Carlos Alazraqui"
tt14025788,Baggio: The Divine Ponytail,2021,"Biography,Drama,Sport",6.1,"Andrea Arcangeli, Valentina Bellè, Thomas Trabacchi, Andrea Pennacchi, Antonio Zavatteri"
tt14030816,Baghead,2023,"Horror,Mystery",5.4,"Freya Allan, Jeremy Irvine, Ruby Barker, Peter Mullan, Anne Müller"
tt1403130,Bodyguards and Assassins,2009,"Action,Drama,History",6.8,"Xueqi Wang, Tony Ka Fai Leung, Jun Hu, Bo-Chieh Wang, Nicholas Tse"
tt1403177,Hesher,2010,"Comedy,Drama",6.9,"Joseph Gordon-Levitt, Devin Brochu, Natalie Portman, Rainn Wilson, Piper Laurie"
tt1403214,Paradise: Love,2012,Drama,7.0,"Margarete Tiesel, Peter Kazungu, Inge Maux, Dunja Sowinetz, Helen Brugat"
tt1403241,Wolves,2014,"Action,Fantasy,Horror",5.3,"Lucas Till, Stephen McHattie, John Pyper-Ferguson, Merritt Patterson, Jason Momoa"
tt14033502,Bad Luck Banging or Loony Porn,2021,"Adult,Comedy,Drama",6.5,"Katia Pascariu, Katia Pascariu, Claudia Ieremia, Nicodim Ungureanu, Olimpia Malai"
tt14034966,Wheel of Fortune and Fantasy,2021,"Drama,Romance",7.5,"Kotone Furukawa, Ayumu Nakajima, Hyunri, Kiyohiko Shibukawa, Katsuki Mori"
tt1403865,True Grit,2010,"Drama,Western",7.6,"Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin, Barry Pepper"
tt14039582,Drive My Car,2021,Drama,7.5,"Hidetoshi Nishijima, Tôko Miura, Reika Kirishima, Masaki Okada, Park Yu-rim"
tt1403981,Remember Me,2010,"Drama,Romance",7.1,"Robert Pattinson, Emilie de Ravin, Caitlyn Rund, Moisés Acevedo, Noel Rodriguez"
tt1403988,The Romantics,2010,"Comedy,Drama,Romance",5.0,"Katie Holmes, Anna Paquin, Josh Duhamel, Malin Akerman, Adam Brody"
tt14042066,Dobaaraa,2022,"Drama,Fantasy,Mystery",4.9,"Taapsee Pannu, Taapsee Pannu, Pavail Gulati, Nassar, Saswata Chatterjee"
tt14043966,Terror on the Prairie,2022,"Drama,Thriller,Western",5.2,"Gina Carano, Nick Searcy, Donald Cerrone, Heath Freeman, Tyler Fischer"
tt1405365,Celeste & Jesse Forever,2012,"Comedy,Drama,Romance",6.6,"Rashida Jones, Andy Samberg, Elijah Wood, Emma Roberts, Ari Graynor"
tt1405500,For Colored Girls,2010,Drama,6.3,"Janet Jackson, Janet Jackson, Anika Noni Rose, Anika Noni Rose, Whoopi Goldberg"
tt14056466,Yudhra,2024,"Action,Drama,Thriller",5.0,"Siddhant Chaturvedi, Sarthak Khurana, Malavika Mohanan, Raghav Juyal, Gajraj Rao"
tt1405810,Loose Cannons,2010,"Comedy,Drama,Romance",7.2,"Riccardo Scamarcio, Nicole Grimaudo, Alessandro Preziosi, Ennio Fantastichini, Lunetta Savino"
tt14060094,Blacklight,2022,"Action,Drama,Thriller",4.8,"Liam Neeson, Aidan Quinn, Taylor John Smith, Emmy Raver-Lampman, Claire van der Boom"
tt14060232,Infinite Storm,2022,"Drama,Thriller",5.3,"Naomi Watts, Billy Howle, Denis O'Hare, Parker Sawyers, Eliot Sumner"
tt1407049,Altitude,2010,"Horror,Mystery,Sci-Fi",4.8,"Jessica Lowndes, Julianna Guill, Ryan Donowho, Landon Liboiron, Jake Weary"
tt1407061,Just Wright,2010,"Comedy,Romance,Sport",5.9,"Queen Latifah, Common, Paula Patton, James Pickens Jr., Phylicia Rashad"
tt1407065,The Moth Diaries,2011,"Drama,Fantasy,Horror",4.9,"Sarah Bolger, Sarah Gadon, Lily Cole, Anne Day-Jones, Valerie Tian"
tt1407084,Twelve,2010,"Action,Drama,Thriller",5.6,"Chace Crawford, Emma Roberts, Rory Culkin, Philip Ettinger, Esti Ginzburg"
tt1407972,Dream Home,2010,Horror,6.6,"Josie Ho, Ching Wong, Helen To, Man Jan San, Cindy Yu"
tt1408101,Star Trek Into Darkness,2013,"Action,Adventure,Sci-Fi",7.7,"Chris Pine, Zachary Quinto, Zoe Saldaña, Benedict Cumberbatch, Leonard Nimoy"
tt1408253,Ride Along,2014,"Action,Comedy,Crime",6.1,"Ice Cube, Kevin Hart, Tika Sumpter, John Leguizamo, Bruce McGill"
tt14088510,Tarot,2024,Horror,4.8,"Harriet Slater, Adain Bradley, Jacob Batalon, Avantika, Humberly González"
tt1409004,Bloomington,2010,Drama,5.8,"Allison McAtee, Sarah Stouffer, Katherine Ann McGregor, Ray Zupp, J. Blakemore"
tt1409024,Men in Black³,2012,"Action,Adventure,Comedy",6.8,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement, Emma Thompson"
tt14091818,Ajeeb Daastaans,2021,"Drama,Romance",6.7,"Fatima Sana Shaikh, Fatima Sana Shaikh, Jaideep Ahlawat, Jaideep Ahlawat, Armaan Ralhan"
tt14097180,Somewhere in Queens,2022,"Comedy,Drama,Sport",6.8,"Ray Romano, Laurie Metcalf, Jacob Ward, Sadie Stanley, Tony Lo Bianco"
tt14097206,The Unlikely Pilgrimage of Harold Fry,2023,Drama,6.8,"Jim Broadbent, Penelope Wilton, Earl Cave, Linda Bassett, Joseph Mydell"
tt14099334,Bhediya,2022,"Comedy,Horror,Thriller",6.7,"Varun Dhawan, Varun Dhawan, Kriti Sanon, Kriti Sanon, Abhishek Banerjee"
tt1410051,Retreat,2011,"Drama,Horror,Thriller",5.8,"Thandiwe Newton, Cillian Murphy, Jamie Bell, Jimmy Yuill, Marilyn Mantle"
tt1410063,The Flowers of War,2011,"Drama,History,Romance",7.5,"Christian Bale, Ni Ni, Xinyi Zhang, Tianyuan Huang, Xiting Han"
tt14107554,Dasvi,2022,"Comedy,Drama",7.4,"Abhishek Bachchan, Nimrat Kaur, Yami Gautam, Manu Rishi Chadha, Chittaranjan Tripathy"
tt14109724,Ticket to Paradise,2022,"Comedy,Drama,Romance",6.1,"George Clooney, Sean Lynch, Julia Roberts, Arielle Carver-O'Neill, Ling Cooper Tang"
tt14111734,Operation Varsity Blues,2021,"Crime,Documentary,Drama",6.9,"Matthew Modine, Roger Rignack, Jillian Peterson, Courtney Rackley, Wallace Langham"
tt1411238,No Strings Attached,2011,"Comedy,Romance",6.2,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes, Greta Gerwig"
tt1411250,Riddick,2013,"Action,Adventure,Sci-Fi",6.4,"Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà, Matt Nable"
tt14114802,The Outfit,2022,"Crime,Drama,Mystery",7.2,"Mark Rylance, Zoey Deutch, John Gumley-Mason, Stephen Knox, Steve Chatfield"
tt1411664,Bucky Larson: Born to Be a Star,2011,Comedy,3.3,"Nick Swardson, Don Johnson, Christina Ricci, Stephen Dorff, Ido Mosseri"
tt1411697,The Hangover Part II,2011,Comedy,6.5,"Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha, Ken Jeong"
tt1411704,Hop,2011,"Adventure,Animation,Comedy",5.4,"Russell Brand, Russell Brand, James Marsden, Elizabeth Perkins, Kaley Cuoco"
tt14121726,Jeepers Creepers: Reborn,2022,"Horror,Mystery,Thriller",2.6,"Jarreau Benjamin, Sydney Craven, Imran Adams, Gabriel Freilich, Georgia Goodman"
