code,poster,plot
tt13912632,https://image.tmdb.org/t/p/w500/cg1Zd1HsK2YCZ5NFvWOiMocitos.jpg,"Set in Mumbai, the story unfolds in a hospital that is under siege, where Vivaan Ahuja and his wife Anshika are trapped. Does he manage to rescue her and other hostages from the dangerous hoodlums?"
tt13919802,https://image.tmdb.org/t/p/w500/y7DOaApwC0CO5EEV7Knqju3rLFa.jpg,"Amid the turmoil in northeast India, an undercover agent tasked with peace negotiations crosses paths with a tenacious boxer fighting for her dreams."
tt1392170,https://image.tmdb.org/t/p/w500/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching."
tt1392190,https://image.tmdb.org/t/p/w500/hA2ple9q4qnwxp3hKVNhroipsir.jpg,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order."
tt1392197,https://image.tmdb.org/t/p/w500/e1hxniKMiRIpGiad0BCATn4d8uv.jpg,"When Phil and Debbie Winslow relocate from their native Kansas to the sunny climes of Orange County, their big-hearted, havoc-wreaking Great Dane gets a taste of the dog's life, California-style."
tt1392214,https://image.tmdb.org/t/p/w500/uhviyknTT5cEQXbn6vWIqfM4vGm.jpg,"Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street."
tt13923084,https://image.tmdb.org/t/p/w500/5oEzYfX3UjbP8s5Zu7b5Frgqzth.jpg,"When his family is murdered, a deaf-mute named Boy escapes to the jungle and is trained by a mysterious shaman to repress his childish imagination and become an instrument of death."
tt13923216,https://image.tmdb.org/t/p/w500/iJw55oTb2MlG4NWjq3sbIFUVU76.jpg,"In the days leading up to a possibly career-changing exhibition, a sculptor navigates her relationships with family, friends, and colleagues."
tt13923456,https://image.tmdb.org/t/p/w500/x83FFyGGux31l7OiF9NZHeq6ZWv.jpg,"A suburban American woman inherits her grandfather’s Mafia empire and, guided by the Firm’s trusted consigliere, defies everyone’s expectations, including her own, as the new head of the family business."
tt13927994,https://image.tmdb.org/t/p/w500/mNHdClul57prczb5O0krrzyonnn.jpg,"Set in the fictional dystopian city-state of Khansaar, the film follows the friendship between Deva, a tribesman, and Varadha, the prince of Khansaar. When a coup d'état is planned by his father's ministers and his relatives, Varadha enlists Deva's help to become Khansaar's undisputed ruler."
