code,title,year,genres,rating,cast,poster,plot
tt9148706,Misbehaviour,2020,"Comedy,Drama,History",6.4,"Keira Knightley, Gugu Mbatha-Raw, Jessie Buckley, Greg Kinnear, Daniel Tiplady",https://image.tmdb.org/t/p/w500/o1SoYYvxG4bWTXp4wNWt5sKQf1E.jpg,"A group of women involved in the Women's Liberation Movement hatched a plan to invade the stage and disrupt the live broadcast at the 1970 Miss World competition in London, resulting in overnight fame for the newly-formed organization. When the show resumed, the results caused an uproar and turned the Western ideal of beauty on its head."
tt9150970,Despite Everything,2019,Comedy,5.4,"Blanca Suárez, Macarena García, Amaia Salamanca, Belén Cuesta, Maxi Iglesias",https://image.tmdb.org/t/p/w500/jeclnbGov6lbHu8o1ugcOBCUBlU.jpg,"Sara, Lucía, Sofía and Claudia are sisters, 4 modern women with very different personalities, who come together at their mother's funeral, after which they discover the man they've all called ""dad"" throughout their lives is not really their father. They embark on a quest to discover who their real fathers are, discovering more about themselves, their mother, and their lives."
tt9170516,The Shadow in My Eye,2021,"Drama,History,War",7.3,"Bertram Bisgaard Enevoldsen, Ester Birch, Ella Josephine Lund Nilsson, Malena Lucia Lodahl, Fanny Leander Bornedal",https://image.tmdb.org/t/p/w500/jCKvbH3a4V5IPoRAG85eDaniNqO.jpg,"On March 21st, 1945, the British Royal Air Force set out on a mission to bomb Gestapo's headquarters in Copenhagen. The raid had fatal consequences as some of the bombers accidentally targeted a school and more than 120 people were killed, 86 of whom were children."
tt9172422,La belle époque,2019,"Comedy,Drama,Fantasy",7.4,"Daniel Auteuil, Guillaume Canet, Doria Tillier, Fanny Ardant, Pierre Arditi",https://image.tmdb.org/t/p/w500/eHojoVxYRyqGABgoiTYyfkYqTra.jpg,"Victor, a disillusioned 60-something whose marriage is on the rocks, opts to relive the week of his life when, 40 years earlier, he met his true love through a company that allows customers to return to the time period of their choosing."
tt9173154,Separation,2021,"Drama,Horror,Mystery",4.7,"Rupert Friend, Violet McGraw, Madeline Brewer, Mamie Gummer, Brian Cox",https://image.tmdb.org/t/p/w500/jNJ8vKNKT75EW4cvpiWCMvg5TFS.jpg,A young girl finds solace in her artist father and the ghost of her dead mother.
tt9173264,Sibyl,2019,Drama,6.0,"Virginie Efira, Adèle Exarchopoulos, Gaspard Ulliel, Sandra Hüller, Laure Calamy",https://image.tmdb.org/t/p/w500/9W4pznUF8Np6qHExgclaRHVHzom.jpg,"Sibyl, a jaded psychotherapist, returns to her first passion: writing. But her newest patient Margot, a troubled up-and-coming actress, proves to be a source of inspiration that is far too tempting. Fascinated almost to the point of obsession, Sibyl becomes more and more involved in Margot’s tumultuous life, reviving volatile memories that bring her face to face with her past."
tt9173418,Brahms: The Boy II,2020,"Drama,Horror,Mystery",4.7,"Katie Holmes, Christopher Convery, Owain Yeoman, Ralph Ineson, Daphne Hoskins",https://image.tmdb.org/t/p/w500/swTC1DSZcvdxTOzmAKrtoUUPiDW.jpg,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms."
tt9176296,Dolly Kitty and Those Twinkling Stars,2019,"Comedy,Drama",5.2,"Konkona Sen Sharma, Konkona Sen Sharma, Bhumi Pednekar, Bhumi Pednekar, Amol Parashar",https://image.tmdb.org/t/p/w500/jGXdE7Qe2Sgth64GVgnhnMF79NJ.jpg,"A disillusioned Delhi wife (Dolly), and her new-in-town cousin (Kitty), navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom."
tt9177040,Trick,2019,"Crime,Horror,Mystery",4.9,"Omar Epps, Tom Atkins, Jamie Kennedy, Ellen Adair, Kristina Reyes",https://image.tmdb.org/t/p/w500/vxo4qqrhz61SnAUtlHIbYPzZoBU.jpg,A detective tries to track down a masked killer who reappears every Halloween to wreak bloody havoc.
tt9177882,Constantine: City of Demons - The Movie,2018,"Action,Animation,Fantasy",7.3,"Matt Ryan, Matt Ryan, Laura Bailey, Laura Bailey, Laura Bailey",https://image.tmdb.org/t/p/w500/tZIMe2pYug1cS9e7AZnd1bTTidM.jpg,"A decade after a tragic mistake, family man Chas Chandler and occult detective John Constantine set out to cure his daughter Trish from a mysterious supernatural coma."
